Tamil letter,Example word,English,Roman,TTS
அ,அப்பா,father,a,a
ஆ,ஆடு,goat,aa,aa
இ,இலை,leaf,i,i
ஈ,ஈகை,charity,ii,ii
உ,உடல்,body,u,u
ஊ,ஊசி,needle,uu,uu
எ,எலி,mouse,e,e
ஏ,ஏரி,lake,ee,ee
ஐ,ஐயம்,doubt,ai,ai
ஒ,ஒட்டகம்,camel,o,o
ஓ,ஓடம்,boat,oo,oo
ஔ,ஔவை,Avvaiyar (poet),au,au
க,கல்,stone,k,k
ங,ஙனம்,—,ng,ng
ச,சட்டை,shirt,ch,ch
ஞ,ஞானம்,knowledge,nj,nj
ட,டாக்டர்,doctor,t,t
ண,ணவம்,—,n,n
த,தமிழ்,Tamil (language),th,th
ந,நன்றி,thanks,n,n
ப,பல்,tooth,p,p
ம,மரம்,tree,m,m
ய,யானை,elephant,y,y
ர,ரதம்,chariot,r,r
ல,லட்டு,laddu (sweet),l,l
வ,வலம்,circumambulation,v,v
ழ,ழகு,beauty,zh,zh
ள,ளவு,—,L,L
ற,றக்கம்,sleep,R,R
ன,னயம்,—,n,n
ஃ,ஃகரம்,—,h,h
கா,கால்,leg,kaa,kaa
கி,கிள்,sprout,ki,ki
கீ,கீம்,—,kii,kii
கு,கும்,—,ku,ku
கூ,கூம்,—,kuu,kuu
கெ,கெம்,—,ke,ke
கே,கேம்,—,kee,kee
கை,கைம்,—,kai,kai
கொ,கொம்,—,ko,ko
கோ,கோம்,—,koo,koo
கௌ,கௌம்,—,kau,kau
ஙா,ஙாம்,—,ngaa,ngaa
ஙி,ஙிம்,—,ngi,ngi
ஙீ,ஙீம்,—,ngii,ngii
ஙு,ஙும்,—,ngu,ngu
ஙூ,ஙூம்,—,nguu,nguu
ஙெ,ஙெம்,—,nge,nge
ஙே,ஙேம்,—,ngee,ngee
ஙை,ஙைம்,—,ngai,ngai
ஙொ,ஙொம்,—,ngo,ngo
ஙோ,ஙோம்,—,ngoo,ngoo
ஙௌ,ஙௌம்,—,ngau,ngau
சா,சாப்பாடு,meal,chaa,chaa
சி,சிங்கம்,lion,chi,chi
சீ,சீமை,territory,chii,chii
சு,சுடு,burn / hot,chu,chu
சூ,சூடு,heat,chuu,chuu
செ,செடி,plant,che,che
சே,சேவை,service,chee,chee
சை,சைக்கிள்,bicycle,chai,chai
சொ,சொல்,word,cho,cho
சோ,சோறு,rice / meal,choo,choo
சௌ,சௌக்கியம்,well‑being,chau,chau
ஞா,ஞாம்,—,njaa,njaa
ஞி,ஞிம்,—,nji,nji
ஞீ,ஞீம்,—,njii,njii
ஞு,ஞும்,—,nju,nju
ஞூ,ஞூம்,—,njuu,njuu
ஞெ,ஞெம்,—,nje,nje
ஞே,ஞேம்,—,njee,njee
ஞை,ஞைம்,—,njai,njai
ஞொ,ஞொம்,—,njo,njo
ஞோ,ஞோம்,—,njoo,njoo
ஞௌ,ஞௌம்,—,njau,njau
டா,டாம்,—,taa,taa
டி,டிம்,—,ti,ti
டீ,டீம்,—,tii,tii
டு,டும்,—,tu,tu
டூ,டூம்,—,tuu,tuu
டெ,டெம்,—,te,te
டே,டேம்,—,tee,tee
டை,டைம்,—,tai,tai
டொ,டொம்,—,to,to
டோ,டோம்,—,too,too
டௌ,டௌம்,—,tau,tau
ணா,ணாம்,—,naa,naa
ணி,ணிம்,—,ni,ni
ணீ,ணீம்,—,nii,nii
ணு,ணும்,—,nu,nu
ணூ,ணூம்,—,nuu,nuu
ணெ,ணெம்,—,ne,ne
ணே,ணேம்,—,nee,nee
ணை,ணைம்,—,nai,nai
ணொ,ணொம்,—,no,no
ணோ,ணோம்,—,noo,noo
ணௌ,ணௌம்,—,nau,nau
தா,தாடு,rope,thaa,thaa
தி,திரு,Mr. / holy,thi,thi
தீ,தீ,fire,thii,thii
து,தூள்,dust,thu,thu
தூ,தூம்,—,thuu,thuu
தெ,தெம்,—,the,the
தே,தேன்,honey,thee,thee
தை,தைம்,—,thai,thai
தொ,தொம்,—,tho,tho
